,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ExpirationDate
0,AAPL240920P00005000,2024-01-12 14:30:19+00:00,5.0,0.01,0.0,0.03,0.0,0.0,,1,1.65625171875,False,REGULAR,USD,2024-09-20
1,AAPL240920P00010000,2024-01-09 14:30:00+00:00,10.0,0.01,0.0,0.0,0.0,0.0,,1,0.500005,False,REGULAR,USD,2024-09-20
2,AAPL240920P00015000,2024-03-05 14:30:10+00:00,15.0,0.01,0.0,0.01,0.0,0.0,1.0,5250,1.0312548437500002,False,REGULAR,USD,2024-09-20
3,AAPL240920P00020000,2024-03-11 15:34:14+00:00,20.0,0.01,0.0,0.01,0.0,0.0,100.0,1894,0.9062509375,False,REGULAR,USD,2024-09-20
4,AAPL240920P00025000,2024-03-13 13:30:02+00:00,25.0,0.01,0.0,0.03,0.0,0.0,1.0,100,0.8828136718749999,False,REGULAR,USD,2024-09-20
5,AAPL240920P00030000,2024-02-09 16:15:36+00:00,30.0,0.01,0.0,0.07,0.0,0.0,20.0,90,0.867188828125,False,REGULAR,USD,2024-09-20
6,AAPL240920P00035000,2024-02-27 17:57:46+00:00,35.0,0.01,0.0,0.03,0.0,0.0,20.0,775,0.726565234375,False,REGULAR,USD,2024-09-20
7,AAPL240920P00040000,2024-03-01 19:11:48+00:00,40.0,0.01,0.01,0.04,0.0,0.0,30.0,428,0.70312796875,False,REGULAR,USD,2024-09-20
8,AAPL240920P00045000,2024-03-05 16:11:07+00:00,45.0,0.01,0.01,0.04,0.0,0.0,1.0,4,0.6445348046875,False,REGULAR,USD,2024-09-20
9,AAPL240920P00050000,2024-03-13 15:30:39+00:00,50.0,0.03,0.02,0.03,0.01,50.0,82.0,1122,0.5976602734375001,False,REGULAR,USD,2024-09-20
10,AAPL240920P00055000,2024-02-20 20:42:37+00:00,55.0,0.03,0.01,0.05,0.0,0.0,1.0,62,0.5625043750000001,False,REGULAR,USD,2024-09-20
11,AAPL240920P00060000,2024-03-13 13:49:24+00:00,60.0,0.04,0.02,0.06,0.01,33.333336,60.0,215,0.5351608984375,False,REGULAR,USD,2024-09-20
